,id,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_labelencoded,oheencoded_Bronx,oheencoded_Brooklyn,oheencoded_Manhattan,oheencoded_Queens,oheencoded_Staten Island,oheencoded_Entire home/apt,oheencoded_Hotel room,oheencoded_Private room,oheencoded_Shared room
92,83243,40.68769,-73.91788,73,30,256,331,27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
93,46911,40.68022,-73.97457,120,3,69,278,160,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
94,84010,40.73777,-73.95366,179,1,26,141,93,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,17693,40.83253,-73.94108,85,2,65,363,208,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
96,49048,40.6829,-73.95701,104,30,25,264,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
97,18152,40.76967,-73.94831,200,30,148,365,203,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
98,50447,40.66913,-73.99041,154,5,234,161,87,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
99,18728,40.74261,-74.00353,195,4,235,233,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
100,86215,40.71985,-73.98781,166,30,167,0,121,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
101,51438,40.77449,-73.95308,130,14,0,0,203,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
102,89621,40.67823,-73.94719,150,30,240,365,52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
103,18961,40.73808,-73.98001,95,30,1,0,114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
104,19812,40.71802,-73.95724,105,30,61,237,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
105,52689,40.77868,-73.90652,169,3,54,11,55,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
106,20913,40.70967,-73.95922,80,30,168,0,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
107,92242,40.71974,-73.98393,429,21,81,179,121,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
108,53469,40.71567,-73.87842,130,30,33,365,127,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
109,93313,40.68413,-73.93817,129,2,150,287,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110,21456,40.79936,-73.96155,88,30,85,365,204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
111,53470,40.70422,-73.89778,193,30,6,365,168,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
112,53477,40.71778,-73.87714,350,30,16,365,127,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
113,21644,40.82782,-73.9473,99,30,3,0,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
114,54466,40.80255,-73.95803,200,30,0,365,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
115,21794,40.74187,-74.00223,85,30,36,364,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
116,23135,40.67747,-74.00146,171,3,298,351,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
117,23686,40.72961,-74.00308,650,5,59,88,211,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
118,94209,40.67654,-73.94629,100,1,44,79,52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
119,94783,40.6736,-73.9551,135,30,145,352,52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,98663,40.75077,-73.99657,150,30,19,217,33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
121,54508,40.67908,-73.97405,95,2,154,278,153,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
122,54544,40.81182,-73.94631,161,3,122,306,96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
123,99085,40.6867,-73.97469,125,30,30,153,81,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
124,24285,40.67115,-73.98026,220,30,93,261,153,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
125,54694,40.67144,-73.76501,65,30,62,0,107,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
126,54860,40.79934,-73.94236,125,5,277,169,62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
127,25406,40.71649,-73.94865,83,30,29,0,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
128,100186,40.66952,-73.99201,130,30,117,68,87,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
129,55959,40.71065,-73.95087,129,5,98,16,216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130,25696,40.8104,-73.94309,100,1,190,0,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
131,55982,40.68701,-73.97555,85,3,43,3,81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
132,101053,40.71116,-73.95484,175,60,38,0,216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
133,56859,40.81201,-73.94452,74,3,253,45,96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
134,57166,40.772472,-73.906075,149,3,126,267,55,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
135,103161,40.71551,-73.96274,335,7,146,365,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136,103311,40.73778,-73.95366,599,1,9,66,93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
137,26785,40.6686,-73.98723,90,30,479,64,184,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
138,57297,40.69003,-73.99338,249,5,281,141,24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
139,27644,40.82682,-73.94948,190,2,246,289,96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
140,103555,40.693047,-73.971985,375,1,281,0,81,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
141,57618,40.76505,-73.98716,250,4,129,0,97,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
142,105469,40.58603,-73.8145,114,2,17,89,170,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
